Date,Product,Category,Units_Sold,Revenue,Region
2024-01-05,Laptop Pro,Electronics,12,23988.00,North
2024-01-08,Wireless Mouse,Accessories,45,1350.00,South
2024-01-12,Office Chair,Furniture,8,3200.00,East
2024-01-15,Laptop Pro,Electronics,9,17991.00,West
2024-01-18,USB Hub,Accessories,60,1800.00,North
2024-01-22,Standing Desk,Furniture,5,4500.00,South
2024-01-25,Mechanical Keyboard,Accessories,30,4500.00,East
2024-01-28,Monitor 4K,Electronics,20,15980.00,West
2024-02-02,Laptop Pro,Electronics,15,29985.00,South
2024-02-06,Webcam HD,Accessories,40,3200.00,North
